OBJECTID,landslide_trigger,event_date,latitude,longitude,landslide_size
5689866,continuous_rain,2017-07-03 07:00:00,26.20450454,91.87202793,medium
5689867,downpour,2017-07-01 00:00:00,43.658599380000005,-72.34106091999999,medium
5689868,rain,2017-07-04 09:00:00,21.61900923,91.92597729,medium
5689870,rain,2016-09-05 00:00:00,26.324724,94.514651,large
5689871,continuous_rain,2017-06-13 00:00:00,22.35037081,91.83258101,large
5689872,continuous_rain,2017-07-02 12:00:00,22.77997113,92.03513581,small
5689873,downpour,2017-07-03 00:00:00,23.14383048,105.52999714,small
5689874,rain,2017-07-03 00:00:00,27.83196401,84.54704620999999,medium
5689876,downpour,2017-07-03 00:00:00,22.69040325,104.45308515,small
5689878,rain,2016-09-02 22:00:00,27.513641,87.640957,large
5689879,continuous_rain,2017-07-04 00:00:00,25.4976444,94.12901274,small
5689880,rain,2016-09-05 00:00:00,26.092493,94.257523,large
5689881,downpour,2017-07-03 00:00:00,23.161001910000003,105.42448925,medium
5689882,downpour,2016-09-04 08:00:00,27.833565,85.201673,large
5689884,continuous_rain,2017-07-03 00:00:00,26.22247247,91.92053028,medium
5689885,rain,2016-09-04 00:00:00,28.377188,83.498645,medium
5689886,downpour,2017-07-03 00:00:00,26.1061808,91.85158907,small
5689887,downpour,2017-07-03 00:00:00,26.10430759,91.86227824,small
5689888,continuous_rain,2017-06-13 00:00:00,22.74955141,92.22099982,large
5689889,downpour,2017-07-03 00:00:00,22.77992936,105.15936626,small
5689890,rain,2016-09-07 00:00:00,14.521881,-90.604924,large
5689892,rain,2016-09-06 06:00:00,6.60222,3.351692,medium
5689894,rain,2016-09-08 00:00:00,34.525881,71.398496,small
5689895,rain,2017-07-02 22:00:00,27.90362599,85.91050294,small
5689896,rain,2017-07-04 22:00:00,27.98531715,94.21263589,medium
5689897,continuous_rain,2017-07-01 22:00:00,26.11613908,94.24222574,small
5689898,downpour,2017-06-19 00:00:00,43.10590179,-72.44447441,small
5689899,downpour,2017-07-01 00:00:00,-36.95665535,175.23440137999998,small
5689900,continuous_rain,2017-07-05 23:00:00,21.42181705,92.17584376,medium
5689901,rain,2017-07-04 22:00:00,27.97875751,94.26296826,small
5689902,rain,2016-09-08 11:00:00,10.283626,123.821113,medium
5689903,continuous_rain,2017-07-05 00:00:00,26.90298048,88.29518925,medium
5689906,continuous_rain,2017-07-04 17:00:00,10.68399129,-61.54264771,small
5689907,continuous_rain,2017-07-01 00:00:00,-6.55899343,106.78628996,medium
5689908,continuous_rain,2017-07-02 00:00:00,28.54909078,108.54216858,large
5689909,rain,2017-07-03 00:00:00,-44.675943,167.940244,medium
5689911,downpour,2017-07-01 22:00:00,26.3312531,94.55427723,medium
5689912,continuous_rain,2017-07-06 20:00:00,27.02149311,88.25902123,medium
5689915,rain,2017-06-25 18:00:00,38.74738889,75.19605556,medium
5689917,continuous_rain,2016-08-15 20:00:00,16.404676,120.595832,medium
5689918,rain,2017-06-19 19:00:00,6.62296119,3.38134103,medium
5689921,rain,2017-05-20 00:00:00,-0.58474,37.559988,medium
5689922,rain,2017-05-19 00:00:00,17.06998518,96.82040086,medium
5689924,rain,2017-05-16 00:00:00,44.3517732,-103.77988215,small
5689926,rain,2016-08-16 00:00:00,27.593,88.492,large
5689930,rain,2016-08-14 22:00:00,28.069957,85.01,large
5689931,rain,2017-05-29 00:00:00,45.08144863,41.98700247,small
5689932,downpour,2017-06-14 00:00:00,21.04270451,92.21525816,medium
5689933,rain,2017-06-01 00:00:00,47.67463292,-117.22605196,small
5689934,rain,2017-06-05 20:00:00,34.27703802,75.46743477999999,small
5689937,rain,2017-05-27 00:00:00,16.28332586,80.26097734000001,medium
5689940,continuous_rain,2016-08-10 20:00:00,30.070512,80.237218,small
5689942,downpour,2016-08-19 20:00:00,-6.311708,106.801076,very_large
5689943,downpour,2017-06-26 00:00:00,24.21988831,93.20266204,medium
5689944,rain,2017-05-28 22:00:00,24.89456743,121.73342794,small
5689945,rain,2016-08-09 00:00:00,27.6835,86.1804,small
5689946,rain,2017-06-10 00:00:00,17.1523721,-100.69037273,medium
5689947,rain,2017-05-12 00:00:00,40.48808507,-111.65093496,small
5689948,rain,2017-05-30 00:00:00,16.77787239,120.96132824,small
5689949,rain,2017-05-30 03:00:00,36.270094660000005,-85.97897289,small
5689950,rain,2017-06-01 10:00:00,11.34165808,76.8694278,small
5689951,snowfall_snowmelt,2017-05-28 00:00:00,39.19779968,71.27547914,large
5689952,downpour,2017-06-13 00:00:00,22.80452414,91.91261915,medium
5689953,continuous_rain,2017-05-29 22:00:00,22.65620215,93.61589869,small
5689955,rain,2017-06-21 00:00:00,32.62803,75.37123,small
5689956,rain,2017-06-24 00:00:00,29.71492436,98.92090376,medium
5689958,continuous_rain,2017-06-04 00:00:00,25.15246863,92.94670614,medium
5689959,downpour,2017-06-13 00:00:00,21.87861504,92.2676503,large
5689960,continuous_rain,2016-08-13 10:00:00,24.725938,116.732231,medium
5689961,downpour,2017-06-27 00:00:00,24.30415689,93.18182448,medium
5689963,rain,2016-08-15 22:00:00,31.581485,78.412784,small
5689965,rain,2017-05-20 00:00:00,30.73315585,79.49231617,large
5689967,rain,2016-08-16 00:00:00,28.372874000000003,83.567989,small
5689968,downpour,2017-06-21 22:00:00,33.63251807,75.23162006,medium
5689970,rain,2017-06-19 06:00:00,-34.06995508999999,18.36915952,small
5689971,rain,2017-06-12 09:00:00,13.90074546,74.66018578,small
5689973,rain,2016-08-18 19:00:00,39.978954,70.56256,medium
5689974,rain,2017-06-29 00:00:00,29.60012,80.63000199999999,medium
5689976,rain,2017-06-13 20:00:00,0.7448218400000001,120.59271632,medium
5689978,rain,2017-06-08 00:00:00,38.76361817,-120.32398117,small
